14:51:39.394583 router is listening at :3000
14:51:59.606383 [queue=0] packet #1, 127.0.0.1:52269 -> 127.0.0.1:8080, sz=24 is delivered
14:51:59.609120 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:52269, sz=24 is delivered
14:51:59.613132 [queue=0] packet #2, 127.0.0.1:55127 -> 127.0.0.1:8080, sz=35 is delivered
14:51:59.627254 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:55127, sz=227 is delivered
14:51:59.628328 [queue=0] packet #3, 127.0.0.1:55127 -> 127.0.0.1:8080, sz=35 is delivered
14:51:59.628805 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:55127, sz=227 is delivered
14:51:59.628910 [queue=0] packet #4, 127.0.0.1:55127 -> 127.0.0.1:8080, sz=2 is delivered
14:52:12.524319 [queue=0] packet #5, 127.0.0.1:58680 -> 127.0.0.1:8080, sz=24 is delivered
14:52:12.525042 [queue=0] packet #5, 127.0.0.1:8080 -> 127.0.0.1:58680, sz=24 is delivered
14:52:12.525830 [queue=0] packet #6, 127.0.0.1:52583 -> 127.0.0.1:8080, sz=63 is delivered
14:52:12.566068 [queue=0] packet #6, 127.0.0.1:8080 -> 127.0.0.1:52583, sz=395 is delivered
14:52:12.566469 [queue=0] packet #7, 127.0.0.1:52583 -> 127.0.0.1:8080, sz=63 is delivered
14:52:12.567662 [queue=0] packet #7, 127.0.0.1:8080 -> 127.0.0.1:52583, sz=425 is delivered
14:52:12.567791 [queue=0] packet #8, 127.0.0.1:52583 -> 127.0.0.1:8080, sz=2 is delivered
14:52:50.274391 config: drop-rate=0.40, max-delay=0s, seed=1703015570274273000
14:52:50.274959 router is listening at :3000
14:53:09.741619 [queue=0] packet #9, 127.0.0.1:59612 -> 127.0.0.1:8080, sz=24 is dropped
14:53:12.744252 [queue=0] packet #9, 127.0.0.1:59612 -> 127.0.0.1:8080, sz=24 is delivered
14:53:12.747790 [queue=0] packet #9, 127.0.0.1:8080 -> 127.0.0.1:59612, sz=24 is dropped
14:53:15.745619 [queue=0] packet #9, 127.0.0.1:59612 -> 127.0.0.1:8080, sz=24 is dropped
14:53:18.747540 [queue=0] packet #9, 127.0.0.1:59612 -> 127.0.0.1:8080, sz=24 is delivered
14:53:18.747998 [queue=0] packet #9, 127.0.0.1:8080 -> 127.0.0.1:59612, sz=24 is dropped
14:53:21.749304 [queue=0] packet #9, 127.0.0.1:59612 -> 127.0.0.1:8080, sz=24 is delivered
14:53:21.750415 [queue=0] packet #9, 127.0.0.1:8080 -> 127.0.0.1:59612, sz=24 is dropped
14:53:24.750014 [queue=0] packet #9, 127.0.0.1:59612 -> 127.0.0.1:8080, sz=24 is delivered
14:53:24.750455 [queue=0] packet #9, 127.0.0.1:8080 -> 127.0.0.1:59612, sz=24 is dropped
14:53:27.751765 [queue=0] packet #9, 127.0.0.1:59612 -> 127.0.0.1:8080, sz=24 is dropped
14:53:30.753900 [queue=0] packet #9, 127.0.0.1:59612 -> 127.0.0.1:8080, sz=24 is delivered
14:53:30.754888 [queue=0] packet #9, 127.0.0.1:8080 -> 127.0.0.1:59612, sz=24 is delivered
14:53:30.755890 [queue=0] packet #10, 127.0.0.1:50074 -> 127.0.0.1:8080, sz=44 is dropped
14:53:33.758317 [queue=0] packet #10, 127.0.0.1:50074 -> 127.0.0.1:8080, sz=44 is delivered
14:53:33.943696 [queue=0] packet #10, 127.0.0.1:8080 -> 127.0.0.1:50074, sz=213 is dropped
14:53:36.759990 [queue=0] packet #10, 127.0.0.1:50074 -> 127.0.0.1:8080, sz=44 is dropped
14:53:39.761292 [queue=0] packet #10, 127.0.0.1:50074 -> 127.0.0.1:8080, sz=44 is dropped
14:53:42.764396 [queue=0] packet #10, 127.0.0.1:50074 -> 127.0.0.1:8080, sz=44 is delivered
14:53:42.770589 [queue=0] packet #10, 127.0.0.1:8080 -> 127.0.0.1:50074, sz=213 is dropped
14:53:45.766069 [queue=0] packet #10, 127.0.0.1:50074 -> 127.0.0.1:8080, sz=44 is delivered
14:53:45.769147 [queue=0] packet #10, 127.0.0.1:8080 -> 127.0.0.1:50074, sz=213 is delivered
14:53:45.769688 [queue=0] packet #11, 127.0.0.1:50074 -> 127.0.0.1:8080, sz=44 is delivered
14:53:45.771432 [queue=0] packet #11, 127.0.0.1:8080 -> 127.0.0.1:50074, sz=213 is delivered
14:53:45.771847 [queue=0] packet #12, 127.0.0.1:50074 -> 127.0.0.1:8080, sz=2 is dropped
14:56:28.227647 [queue=0] packet #13, 127.0.0.1:50244 -> 127.0.0.1:8080, sz=24 is delivered
14:56:28.229521 [queue=0] packet #13, 127.0.0.1:8080 -> 127.0.0.1:50244, sz=24 is delivered
14:56:28.229912 [queue=0] packet #14, 127.0.0.1:58337 -> 127.0.0.1:8080, sz=72 is dropped
14:56:31.234729 [queue=0] packet #14, 127.0.0.1:58337 -> 127.0.0.1:8080, sz=72 is delivered
14:56:31.363603 [queue=0] packet #14, 127.0.0.1:8080 -> 127.0.0.1:58337, sz=402 is delivered
14:56:31.363974 [queue=0] packet #15, 127.0.0.1:58337 -> 127.0.0.1:8080, sz=72 is dropped
14:56:31.648651 [queue=0] packet #1, 127.0.0.1:59147 -> 127.0.0.1:8080, sz=24 is delivered
14:56:31.648950 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:59147, sz=24 is delivered
14:56:31.653893 [queue=0] packet #2, 127.0.0.1:59315 -> 127.0.0.1:8080, sz=47 is delivered
14:56:31.654618 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:59315, sz=210 is delivered
14:56:31.656187 [queue=0] packet #3, 127.0.0.1:59315 -> 127.0.0.1:8080, sz=47 is delivered
14:56:31.656662 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:59315, sz=210 is dropped
14:56:34.366189 [queue=0] packet #14, 127.0.0.1:58337 -> 127.0.0.1:8080, sz=72 is delivered
14:56:34.367479 [queue=0] packet #14, 127.0.0.1:8080 -> 127.0.0.1:58337, sz=432 is dropped
14:56:34.659823 [queue=0] packet #2, 127.0.0.1:59315 -> 127.0.0.1:8080, sz=47 is dropped
14:56:37.368010 [queue=0] packet #14, 127.0.0.1:58337 -> 127.0.0.1:8080, sz=72 is delivered
14:56:37.372138 [queue=0] packet #14, 127.0.0.1:8080 -> 127.0.0.1:58337, sz=432 is dropped
14:56:37.675968 [queue=0] packet #2, 127.0.0.1:59315 -> 127.0.0.1:8080, sz=47 is delivered
14:56:37.679653 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:59315, sz=210 is dropped
14:56:40.370156 [queue=0] packet #14, 127.0.0.1:58337 -> 127.0.0.1:8080, sz=72 is delivered
14:56:40.375122 [queue=0] packet #14, 127.0.0.1:8080 -> 127.0.0.1:58337, sz=432 is delivered
14:56:40.375413 [queue=0] packet #16, 127.0.0.1:58337 -> 127.0.0.1:8080, sz=2 is delivered
14:56:40.678075 [queue=0] packet #2, 127.0.0.1:59315 -> 127.0.0.1:8080, sz=47 is delivered
14:56:40.681686 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:59315, sz=210 is dropped
14:56:43.680004 [queue=0] packet #2, 127.0.0.1:59315 -> 127.0.0.1:8080, sz=47 is delivered
14:56:43.686028 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:59315, sz=210 is delivered
14:56:43.686708 [queue=0] packet #4, 127.0.0.1:59315 -> 127.0.0.1:8080, sz=2 is delivered
